movie_id,title,runtime,rating_encoded,is_korean,genre,open_date,open_month,open_day_of_week,is_summer,is_winter,is_holiday_release,holiday_nearby_count,director_avg_audi,director_movie_count,lead_actor_avg_audi,lead_actor_movie_count,cast_max_star_power,distributor_avg_audi,distributor_movie_count,producer_avg_audi,producer_movie_count,same_week_releases,market_avg_audi_7d,trend_pre7_avg,trend_pre7_max,trend_growth_rate,relative_search_share,has_trend_data,total_audience,log_audience,hit_class
20190601,디바,84.0,2.0,1.0,스릴러,2020-09-23,9.0,2.0,0,0,0,1,502419.0,1,5554330.666666667,2,6047715.0,0.0,0,1143679.5,2,6,69072.28571428571,19.915714285714284,39.02,2.0986737453771767,0.10026308097047648,1,108122,11.59102474695328,0
20190621,죽지않는 인간들의 밤,110.0,2.0,1.0,코미디,2020-09-29,9.0,1.0,0,0,0,3,1498399.6666666667,3,7477801.361111111,3,9607506.5,0.0,0,0.0,0,4,87923.71428571429,18.729999999999997,40.8,2.938807531380753,0.07675016056518946,1,94276,11.453992536433487,0
20190683,아무도 없는 곳,82.0,2.0,1.0,드라마,2021-03-31,3.0,2.0,0,0,0,0,128895.5,2,2982309.3000000003,9,4179977.5,45185.0,25,128895.5,2,8,113008.57142857143,10.748571428571429,20.35,2.357487519060849,0.0632239694557691,1,15636,9.65739517984351,0
20190703,우리집,91.0,0.0,1.0,드라마,2019-08-22,8.0,3.0,1,0,0,1,0.0,0,6605582.899999999,4,9407840.0,956834.7,10,3763.0,1,1,813840.7142857143,3.742857142857143,5.02,1.597463569294555,0.034367940857218296,1,21758,9.987782744031522,0
20190725,물의 기억,99.0,0.0,1.0,다큐멘터리,2019-05-15,5.0,2.0,0,0,0,0,0.0,0,3839561.2777777775,3,5888059.333333333,1665701.8,5,0.0,0,0,401427.0,0.32857142857142857,0.65,2.1107372285102475,0.0019398279493069378,1,11812,9.37695589894852,0
20190735,마티아스와 막심,120.0,2.0,0.0,드라마,2020-07-23,7.0,3.0,1,0,0,0,0.0,0,157017.5,2,157017.5,50891.454545454544,22,0.0,0,5,282021.14285714284,2.501428571428572,4.21,2.580565926508155,0.0061052702298069715,1,2435,7.798112628829788,0
20190741,김복동,101.0,1.0,1.0,다큐멘터리,2019-08-08,8.0,3.0,1,0,0,1,0.0,0,2789002.75,8,2789002.75,51398.555555555555,18,179384.5,2,0,967952.1428571428,1.05,1.86,2.3990860624523993,0.00673623509614398,1,66240,11.101054885563546,0
20190793,엘리펀트킹 덤보,77.0,0.0,0.0,애니메이션,2019-06-13,6.0,3.0,0,0,0,1,0.0,0,0.0,0,0.0,54445.71428571428,49,0.0,0,1,843310.1428571428,1.0342857142857143,2.57,2.7218045112781954,0.003981433944867617,1,6537,8.785386587284156,0
20190808,교섭,108.0,1.0,1.0,드라마,2023-01-18,1.0,2.0,0,1,0,2,1013878.25,4,2983601.2416666667,18,3387818.125,0.0,0,1391074.25,4,1,278598.14285714284,69.82428571428572,100.0,2.4098114137803526,1.0690961417836102,1,1709074,14.351462846447845,0
20190815,보이스,109.0,2.0,1.0,범죄,2021-09-15,9.0,2.0,0,0,0,3,400521.6666666667,3,9661939.166666666,1,11358191.0,0.0,0,836518.0588235294,17,2,124083.57142857143,69.33428571428571,100.0,2.015492501529594,0.5283036253621778,1,1421580,14.16728019051098,0
