movie_id,title,runtime,rating_encoded,is_korean,genre,open_month,open_day_of_week,is_summer,is_winter,is_holiday_release,holiday_nearby_count,director_avg_audi,director_movie_count,lead_actor_avg_audi,lead_actor_movie_count,cast_max_star_power,distributor_avg_audi,distributor_movie_count,producer_avg_audi,producer_movie_count,same_week_releases,market_avg_audi_7d,total_audience,log_audience,hit_class
20218392,올드,108.0,1,0,공포(호러),8.0,2.0,1,0,0,1,1064776.0,2,1263215.3333333333,1,3520878.0,1039600.5714285715,56,0.0,0,5,320235.0,114083,11.644690298147031,1
20219381,퍼피 구조대 더 무비,86.0,0,0,애니메이션,8.0,2.0,1,0,0,1,404819.0,1,319220.8134920635,11,340316.85714285716,694319.7058823529,17,0.0,0,5,320235.0,57721,10.963393662322158,0
20218985,레미니센스,115.0,1,0,SF,8.0,2.0,1,0,0,0,0.0,0,1447963.6666666667,3,2465346.0,1493117.0506329115,79,0.0,0,4,261281.14285714287,36409,10.502598741169479,0
20219331,여름날 우리,114.0,1,0,코미디,8.0,2.0,1,0,0,0,0.0,0,11383.0,0,11383.0,10407.142857142857,7,0.0,0,4,261281.14285714287,398019,12.894257534260305,1
20060423,드림걸즈,129.0,2,0,드라마,2.0,3.0,0,0,0,0,0.0,0,0.0,0,0.0,772126.0,2,0.0,0,0,305076.0714285714,721935,13.48969177128669,1
20219551,극장판 페이트/그랜드 오더 신성원탁영역 카멜롯 팔라딘; 아가트람,96.0,2,0,애니메이션,8.0,3.0,1,0,0,0,0.0,0,996027.0,2,1982206.0,17071.666666666668,12,0.0,0,4,255914.42857142858,936,6.842683282238422,0
20217742,샹치와 텐 링즈의 전설,132.0,1,0,액션,9.0,2.0,0,0,0,0,0.0,0,224232.33333333334,3,500428.3333333333,2675313.578125,64,0.0,0,2,178156.42857142858,1735164,14.366613067705849,2
20218949,다이노 마이 프렌드,74.0,0,0,애니메이션,8.0,3.0,1,0,0,0,0.0,0,19313.233333333334,4,21888.8,25094.486486486487,37,0.0,0,4,255914.42857142858,3951,8.281977058867758,0
20219822,맨 인 더 다크 2,98.0,3,0,공포(호러),9.0,2.0,0,0,0,0,0.0,0,252816.0,0,252816.0,1053295.8125,32,0.0,0,2,178156.42857142858,77146,11.253467971746856,0
20219893,상견니 대만판 12화,72.0,1,0,드라마,8.0,1.0,1,0,0,0,0.0,0,204701.0,0,204701.0,100785.53333333334,15,0.0,0,2,182128.2857142857,4173,8.336630087637147,0
20219185,건파우더 밀크셰이크,114.0,3,0,액션,9.0,2.0,0,0,0,0,0.0,0,4069757.966666667,3,5976097.5,354145.25,24,0.0,0,3,209231.14285714287,33773,10.427446554692082,0
20190969,최선의 삶,109.0,2,1,드라마,9.0,2.0,0,0,0,0,1595111.0,1,3592713.9166666674,5,4559238.0,24819.11111111111,18,0.0,0,2,178156.42857142858,6590,8.79346036105272,0
20190815,보이스,109.0,2,1,범죄,9.0,2.0,0,0,0,3,0.0,0,8903437.333333334,1,10300613.0,0.0,0,930261.2,5,2,124083.57142857143,1421580,14.16728019051098,2
